game,algo1,algo2,winner,nb_move
connect4,MCTS_0.1,Alphabeta_2,Alphabeta,12
connect4,MCTS_0.1,Minimax_2,Minimax,12
connect4,MCTS_0.1,Minimax_2,Minimax,14
connect4,MCTS_0.1,Alphabeta_3,Alphabeta,8
connect4,MCTS_0.1,MCTS_0.2,MCTS,23
connect4,Minimax_1,MCTS_1.0,Minimax,19
connect4,MCTS_0.1,Minimax_2,Minimax,32
connect4,MCTS_0.1,Alphabeta_3,Alphabeta,12
connect4,MCTS_0.1,MCTS_0.2,MCTS,15
connect4,MCTS_0.1,MCTS_0.2,MCTS,25
connect4,MCTS_0.1,Alphabeta_3,Alphabeta,18
connect4,MCTS_0.1,Minimax_3,Minimax,8
connect4,MCTS_0.1,Minimax_3,Minimax,8
connect4,MCTS_0.1,Alphabeta_4,Alphabeta,10
connect4,MCTS_0.1,MCTS_0.3,MCTS,21
connect4,Alphabeta_1,Minimax_4,Minimax,34
connect4,MCTS_0.1,Minimax_3,Minimax,8
connect4,MCTS_0.1,Alphabeta_4,Alphabeta,22
connect4,MCTS_0.1,Alphabeta_4,Alphabeta,12
connect4,MCTS_0.1,MCTS_0.3,MCTS,27
connect4,MCTS_0.1,MCTS_0.3,MCTS,30
connect4,MCTS_0.1,MCTS_0.4,MCTS,13
connect4,MCTS_0.1,MCTS_0.4,MCTS,17
connect4,MCTS_0.1,MCTS_0.4,MCTS,28
connect4,MCTS_0.1,MCTS_0.5,MCTS,28
connect4,MCTS_0.1,Alphabeta_5,Alphabeta,18
connect4,MCTS_0.1,MCTS_0.6,MCTS,11
connect4,MCTS_0.1,MCTS_0.5,draw,52
connect4,MCTS_0.1,MCTS_0.6,MCTS,14
connect4,Minimax_1,Minimax_4,Minimax,24
connect4,MCTS_0.1,MCTS_0.6,MCTS,19
connect4,MCTS_0.1,MCTS_0.5,MCTS,34
connect4,Minimax_1,Minimax_4,Minimax,24
connect4,MCTS_0.1,MCTS_0.8,MCTS,9
connect4,MCTS_0.1,MCTS_0.7,MCTS,15
connect4,MCTS_0.1,MCTS_0.7,MCTS,26
connect4,MCTS_0.1,Alphabeta_5,Alphabeta,14
connect4,MCTS_0.1,MCTS_0.8,MCTS,14
connect4,MCTS_0.1,Alphabeta_5,Alphabeta,22
connect4,MCTS_0.1,MCTS_0.8,MCTS,20
connect4,MCTS_0.1,Minimax_4,Minimax,20
connect4,Alphabeta_2,Alphabeta_1,Alphabeta,38
connect4,Alphabeta_2,Alphabeta_1,Alphabeta,31
connect4,Alphabeta_2,Alphabeta_1,Alphabeta,33
connect4,MCTS_0.1,Minimax_4,Minimax,22
connect4,Alphabeta_2,Minimax_1,Minimax,12
connect4,Alphabeta_2,Minimax_1,Alphabeta,21
connect4,MCTS_0.1,MCTS_0.7,MCTS,40
connect4,Alphabeta_2,MCTS_0.1,Alphabeta,19
connect4,MCTS_0.1,MCTS_0.9,MCTS,19
connect4,Alphabeta_2,MCTS_0.1,Alphabeta,11
connect4,MCTS_0.1,MCTS_1.0,MCTS,16
connect4,Alphabeta_2,Minimax_1,Alphabeta,41
connect4,Alphabeta_2,Minimax_2,Minimax,8
connect4,Alphabeta_2,MCTS_0.1,Alphabeta,13
connect4,MCTS_0.1,MCTS_1.0,MCTS,20
connect4,MCTS_0.1,MCTS_0.9,MCTS,28
connect4,MCTS_0.1,MCTS_0.9,MCTS,29
connect4,Alphabeta_2,MCTS_0.2,Alphabeta,15
connect4,Alphabeta_2,Alphabeta_3,Alphabeta,9
connect4,MCTS_0.1,Minimax_4,Minimax,14
connect4,Alphabeta_2,MCTS_0.2,Alphabeta,15
connect4,Alphabeta_2,MCTS_0.2,Alphabeta,13
connect4,Alphabeta_2,Minimax_2,Minimax,20
connect4,MCTS_0.1,MCTS_1.0,MCTS,21
connect4,Alphabeta_2,MCTS_0.3,Alphabeta,11
connect4,Alphabeta_2,MCTS_0.3,Alphabeta,13
connect4,Alphabeta_2,Minimax_2,Minimax,24
connect4,Alphabeta_2,MCTS_0.3,Alphabeta,11
connect4,Alphabeta_2,Alphabeta_3,Alphabeta,29
connect4,Alphabeta_2,Alphabeta_3,Alphabeta,40
connect4,Alphabeta_2,Minimax_3,Minimax,34
connect4,Alphabeta_2,MCTS_0.4,Alphabeta,11
connect4,Alphabeta_2,Minimax_3,Minimax,28
connect4,Alphabeta_2,Alphabeta_4,Alphabeta,36
connect4,Alphabeta_2,Minimax_3,Minimax,26
connect4,Alphabeta_2,MCTS_0.4,Alphabeta,23
connect4,Alphabeta_2,Alphabeta_4,Alphabeta,38
connect4,Alphabeta_2,MCTS_0.4,Alphabeta,15
connect4,Alphabeta_2,MCTS_0.5,Alphabeta,9
connect4,Alphabeta_2,Alphabeta_4,Alphabeta,40
connect4,Alphabeta_2,MCTS_0.5,Alphabeta,9
connect4,Alphabeta_2,MCTS_0.5,Alphabeta,17
connect4,Alphabeta_2,MCTS_0.6,Alphabeta,13
connect4,Alphabeta_2,MCTS_0.6,Alphabeta,9
connect4,Alphabeta_2,MCTS_0.6,Alphabeta,13
